#ID,M1,M2,M3,M4,M5,M6,M7,M8
NewGene_8669,0.212017,0.575018,2.807755,0.452447,2.998122,0.185047,11.501224,3.44546
NewGene_5294,0.544495,0,0.273492,0.18591,0.178765,0.227452,0,0
NewGene_5295,0,0.337981,0,0.49202,0.170477,0.225647,0,0
gene-Dpep3,0,0.12169,0.110033,0.113367,0.08059,0,0.305217,0.865502
gene-Dpep2,7.470557,7.619985,8.466105,12.385572,14.876859,15.998609,26.417005,56.519552
gene-Dpep1,1.111419,1.510441,1.584037,0.936147,2.1654,2.202996,0,0.063694
gene-Adcy3,12.100556,10.784939,12.051074,12.580459,12.350237,11.921885,0.960903,1.45133
gene-Poldip2,46.796066,44.723988,45.515343,47.535286,48.70496,47.896763,19.841064,19.030745
gene-Poldip3,54.894351,55.596307,51.127721,54.608278,50.36638,50.308801,55.722959,42.61272
gene-Adcy2,0.03234,0.151723,0.25135,0.278037,0.680924,0.948649,0.015551,0
gene-Adcy1,0,0.025253,0,0,0.015329,0,0,0
gene-Asb3,9.051334,6.488102,8.037383,7.172806,6.883244,6.505299,4.904227,4.223239
gene-Stfa2l1,0.553398,0.34429,0.346638,0.675048,2.065445,1.673082,15.286898,75.157661
gene-Asb1,2.428478,2.3924,2.867936,2.826059,2.416622,3.144204,2.341935,3.20365
gene-1700109H08Rik,0.158186,0.323669,0.353758,0.443337,0,0.283606,0.802842,0.510689
gene-Fam117b,15.476523,14.211776,10.463627,10.864653,11.030259,9.83138,11.397579,12.375156
gene-Fam117a,1.476006,1.760385,1.29039,1.725919,2.320274,2.806597,6.256597,12.586526
